player_id,player_name,opponent_id,opponent_name,opponent_country,total,wins,draws,losses,white_total,white_wins,white_draws,white_losses,black_total,black_wins,black_draws,black_losses,std_total,std_wins,std_draws,std_losses,rpd_total,rpd_wins,rpd_draws,rpd_losses,blz_total,blz_wins,blz_draws,blz_losses
2016192,"Nakamura, Hikaru",2640856,"Marchand, Calix",CAN,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",112275,"Mareco, Sandro",ARG,2,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",14402661,"Marjanovic, Dejan",BIH,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",921637,"Markus, Robert",SRB,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",409561,"Maroroa Jones, Gawain C B",ENG,4,1,3,0,1,1,0,0,3,0,3,0,2,0,2,0,2,1,1,0,0,0,0,0
2016192,"Nakamura, Hikaru",13306553,"Martirosyan, Haik M.",ARM,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",4168003,"Matlakov, Maxim",RUS,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",30914523,"Matta, Nicholas",USA,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",613762,"Maze, Sebastien",FRA,2,1,1,0,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",13600966,"Mchedlishvili, Mikheil",GEO,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",404853,"McShane, Luke J",ENG,7,2,4,1,3,2,0,1,4,0,4,0,6,1,4,1,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",4675789,"Meier, Georg",URU,4,2,2,0,3,2,1,0,1,0,1,0,3,2,1,0,0,0,0,0,1,0,2,0
2016192,"Nakamura, Hikaru",2022613,"Melekhina, Alisa",USA,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",13302485,"Melkumyan, Hrant",ARM,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",24522767,"Merario Alarcon, Andres",ESP,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2025906,"Meredith, Matthew",USA,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",4119215,"Mezentsev, Vladimir",RUS,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",14907526,"Michalik, Peter",SVK,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",662445,"Migot, Tangi",FRA,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2801914,"Mikhalevski, Victor",ISR,2,0,2,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",1304364,"Milov, Vadim",SUI,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",14102595,"Miroshnichenko, Evgenij",UKR,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",30920019,"Mishra, Abhimanyu",USA,7,3,3,1,3,1,1,1,4,2,2,0,2,0,2,0,0,0,0,0,5,3,0,2
2016192,"Nakamura, Hikaru",1501453,"Moen, Andreas G.R.",NOR,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",14102560,"Moiseenko, Alexander",UKR,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0
2016192,"Nakamura, Hikaru",10200444,"Mollah Abdullah, Al Rakib",BAN,2,2,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2021722,"Molner, Mackenzie",USA,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",865834,"Moroni, Luca Jr",ITA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",4116992,"Morozevich, Alexander",RUS,14,7,5,2,5,3,0,2,9,4,5,0,6,2,2,2,2,2,0,0,6,3,0,3
2016192,"Nakamura, Hikaru",642908,"Moussard, Jules",FRA,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",310204,"Movsesian, Sergei",ARM,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2008742,"Mulyar, Michael",USA,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",44155573,"Murzin, Volodar",FID,2,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
2016192,"Nakamura, Hikaru",409170,"Muter, Donny",ENG,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",14114550,"Muzychuk, Mariya",UKR,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2809052,"Nabaty, Tamir",ISR,2,1,1,0,1,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",4650891,"Naiditsch, Arkadij",BUL,6,2,3,1,4,2,2,0,2,0,1,1,5,1,3,1,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",4118987,"Najer, Evgeniy",FID,3,1,2,0,1,0,1,0,2,1,1,0,2,1,1,0,1,0,1,0,0,0,0,0
2016192,"Nakamura, Hikaru",7000251,"Nakamura, Ryuji",JPN,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",3200698,"Nakauchi, Gene",AUS,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",7000634,"Nanjo, Ryosuke",JPN,2,2,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",5058422,Narayanan S L,IND,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",5018420,"Narayanan, Srinath",IND,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2201500,"Narciso Dublan, Marc",ESP,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2026961,"Naroditsky, Daniel",USA,2,1,1,0,1,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",605492,"Nataf, Igor-Alexandre",FRA,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",309095,"Navara, David",CZE,9,8,1,0,5,5,0,0,4,3,1,0,6,5,1,0,1,1,0,0,2,2,0,0
2016192,"Nakamura, Hikaru",5003512,"Neelotpal, Das",IND,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",720232,"Nemeth, Miklos",HUN,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",4168119,"Nepomniachtchi, Ian",RUS,45,14,25,6,21,7,13,1,24,7,12,5,13,2,9,2,14,4,7,3,18,8,10,0
2016192,"Nakamura, Hikaru",24198455,"Nesterov, Arseniy",FID,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",1602675,"Neubauer, Martin",AUT,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",12401110,"Nguyen, Ngoc Truong Son",VIE,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
2016192,"Nakamura, Hikaru",8601160,"Ni, Hua",CHN,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",1400355,"Nielsen, Peter Heine",DEN,4,1,3,0,2,1,1,0,2,0,2,0,4,1,3,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2093596,"Niemann, Hans Moke",USA,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2016192,"Nakamura, Hikaru",25092340,Nihal Sarin,IND,5,3,1,1,3,3,0,0,2,0,1,1,0,0,0,0,2,1,1,0,3,2,0,1
2016192,"Nakamura, Hikaru",2900424,"Ninov, Nikolai",BUL,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",1202758,"Nisipeanu, Liviu-Dieter",ROU,5,1,3,1,3,1,2,0,2,0,1,1,5,1,3,1,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",7000740,"Noguchi, Koji",JPN,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",14118084,"Nyzhnyk, Illya",UKR,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",13312022,"Ohanyan, Emin",ARM,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",2300010,"Olafsson, Helgi",ISL,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2205521,"Oms Pallisse, Josep",ESP,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",14101025,"Onischuk, Alexander",USA,9,1,6,2,4,1,1,2,5,0,5,0,9,1,6,2,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",14114038,"Onyshchuk, Volodymyr",UKR,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",24125890,"Oparin, Grigoriy",USA,4,2,2,0,3,2,1,0,1,0,1,0,3,1,2,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",811416,"Ortega, Lexy",ITA,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",1500058,"Ostenstad, Berge",NOR,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",4900987,"Otgonbat, Tsend-Ayush",MGL,2,2,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",4641833,"Paehtz, Elisabeth",GER,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",13602071,"Pantsulaia, Levan",GEO,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
2016192,"Nakamura, Hikaru",4201345,"Papaioannou, Ioannis",GRE,2,0,2,0,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",4194985,"Paravyan, David",FID,2,1,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",1204297,"Parligras, Mircea-Emilian",ROU,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2002833,"Parry, Matt",USA,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2602806,"Patterson, Roger",CAN,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",14600986,"Pavasovic, Dusko",SLO,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",900389,"Pavlovic, Milos",SRB,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",1301837,"Pelletier, Yannick",SUI,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",105309,"Peralta, Fernando",ARG,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",117927,"Perez Ponsa, Federico",ARG,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",921629,"Perunovic, Milos",SRB,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",13301616,"Petrosian, Tigran L.",ARM,3,1,1,1,1,1,0,0,2,0,1,1,2,1,1,0,1,0,0,1,0,0,0,0
2016192,"Nakamura, Hikaru",4101286,"Petrov, Nikita",MNE,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",8700443,"Phiri, Richmond",ZAM,2,2,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",30986133,"Pikus, Matthew",USA,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",1130420,"Piorun, Kacper",POL,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2611651,"Plotkin, Mark",CAN,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",700070,"Polgar, Judit",HUN,4,3,1,0,2,1,1,0,2,2,0,0,1,1,0,0,2,1,1,0,1,1,0,0
2016192,"Nakamura, Hikaru",4157800,"Ponkratov, Pavel",RUS,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2016192,"Nakamura, Hikaru",14103320,"Ponomariov, Ruslan",UKR,14,2,9,3,8,1,6,1,6,1,3,2,14,2,9,3,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2809060,"Popilski, Gil",ISR,2,0,2,0,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",4169786,"Potapov, Pavel",RUS,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
2016192,"Nakamura, Hikaru",4131061,"Potkin, Vladimir",RUS,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2016192,"Nakamura, Hikaru",25059530,Praggnanandhaa R,IND,15,6,6,3,8,4,3,1,7,2,3,2,6,2,4,0,3,1,0,2,6,3,2,1
2016192,"Nakamura, Hikaru",25060783,"Pranav, V",IND,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",24107581,"Predke, Alexandr",SRB,3,1,2,0,3,1,2,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0
2016192,"Nakamura, Hikaru",2014254,"Pruess, David",USA,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",5061245,"Puranik, Abhimanyu",IND,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
